date,open,close,high,low,volume
2019-01-02,10.83,10.69,10.96,10.58,6807.77
2019-01-03,10.69,10.44,10.8,10.38,8491.71
2019-01-04,10.35,10.92,10.93,10.06,14068.77
2019-01-07,10.94,11.19,11.28,10.94,12556.42
2019-01-08,11.01,11.2,11.27,11.01,6792.06
2019-01-09,11.28,11.19,11.41,11.14,10111.36
2019-01-10,11.19,11.68,11.93,11.13,23032.33
2019-01-11,11.49,11.4,11.65,11.34,16193.83
2019-01-14,11.43,11.23,11.48,11.11,11239.27
2019-01-15,11.33,11.34,11.44,11.06,8363.77
2019-01-16,11.43,10.98,11.43,10.9,15527.52
2019-01-17,11.03,11.02,11.29,10.85,12221.72
2019-01-18,10.84,10.87,10.97,10.63,13411.09
2019-01-21,10.91,10.87,11.02,10.74,15007.12
2019-01-22,10.98,10.86,11.01,10.69,9658.59
2019-01-23,10.77,10.59,10.77,10.51,10867.22
2019-01-24,10.61,10.7,10.78,10.52,8621.29
2019-01-25,10.72,10.87,10.95,10.57,16200.07
2019-01-28,10.91,10.27,10.95,10.2,21912.49
2019-01-29,10.27,9.63,10.27,9.25,17521.4
2019-01-30,9.63,9.73,9.89,9.35,8130.62
2019-01-31,9.73,9.47,9.86,9.36,10985.76
2019-02-01,9.7,10.0,10.05,9.54,9229.91
2019-02-11,10.07,10.23,10.3,9.96,9265.4
2019-02-12,10.24,10.63,10.93,10.23,26188.4
2019-02-13,10.7,10.66,10.7,10.56,15136.8
2019-02-14,10.64,10.72,10.72,10.58,10327.0
2019-02-15,10.74,10.67,10.81,10.64,9635.0
2019-02-18,10.67,11.14,11.15,10.67,18731.6
2019-02-19,11.17,12.25,12.25,11.08,51863.03
2019-02-20,12.39,11.93,12.75,11.77,70158.88
2019-02-21,11.93,11.66,12.13,11.56,41897.14
2019-02-22,11.59,11.7,11.75,11.41,28220.69
2019-02-25,11.87,12.13,12.21,11.7,47761.14
2019-02-26,12.12,12.35,12.68,11.76,56785.47
2019-02-27,12.26,12.1,12.72,11.96,34125.09
2019-02-28,12.19,12.12,12.4,11.97,18939.69
2019-03-01,12.13,12.13,12.29,11.91,15923.0
2019-03-04,12.24,12.22,12.51,12.13,39511.49
2019-03-05,12.19,12.78,12.78,12.09,43916.0
2019-03-06,12.83,12.81,12.96,12.46,41595.85
2019-03-07,12.83,13.44,13.82,12.63,56261.35
2019-03-08,13.0,12.63,13.4,12.58,42793.91
2019-03-11,12.67,13.3,13.38,12.64,32761.82
2019-03-12,13.37,13.61,13.8,13.22,54126.88
2019-03-13,13.63,13.06,13.63,12.83,36163.33
2019-03-14,13.09,12.42,13.09,12.06,27181.77
2019-03-15,12.5,12.5,12.85,12.25,27958.2
2019-03-18,12.55,12.81,12.84,12.44,22194.17
2019-03-19,12.9,12.66,12.9,12.58,23615.07
2019-03-20,12.74,12.78,12.93,12.47,24439.8
2019-03-21,12.67,13.0,13.06,12.67,25038.48
2019-03-22,13.0,12.87,13.0,12.5,27810.37
2019-03-25,12.66,13.35,13.72,12.57,59301.38
2019-03-26,13.21,14.06,14.69,13.21,87460.86
2019-03-27,13.97,15.24,15.4,13.64,100503.26
2019-03-28,14.93,16.16,16.43,14.37,116067.9
2019-03-29,16.16,16.39,17.01,15.8,107431.75
2019-04-01,16.13,18.03,18.03,16.13,83144.13
2019-04-02,19.13,19.83,19.83,19.13,80319.64
2019-04-03,19.88,21.81,21.81,19.86,54338.93
2019-04-04,23.99,23.99,23.99,22.87,152050.84
2019-04-08,25.83,26.39,26.39,25.2,30829.84
2019-04-09,29.04,29.04,29.04,27.03,170888.42
2019-04-10,27.94,28.13,30.82,27.66,93496.03
2019-04-11,28.09,26.8,28.16,25.31,113759.42
2019-04-12,27.27,26.6,27.32,25.96,62140.28
2019-04-15,27.32,26.1,27.71,25.74,52455.99
2019-04-16,26.31,27.27,27.37,25.49,61471.07
2019-04-17,27.5,30.0,30.0,27.05,111392.16
2019-04-18,30.88,31.09,33.01,30.11,120706.26
2019-04-19,29.71,30.34,31.9,29.49,83995.87
2019-04-22,30.62,29.72,31.68,29.72,51817.49
2019-04-23,28.71,29.21,31.49,28.71,38003.68
2019-04-24,29.63,29.63,30.78,28.54,58317.03
2019-04-25,29.48,29.19,30.01,28.32,34580.8
2019-04-26,28.88,28.27,29.18,27.46,43142.17
2019-04-29,28.31,26.72,28.6,25.45,41869.56
2019-04-30,26.6,27.36,27.63,26.03,30452.11
2019-05-06,25.74,24.62,26.76,24.62,32264.85
2019-05-07,24.87,23.12,25.26,22.16,50990.32
2019-05-08,23.48,24.94,25.34,22.5,47280.37
2019-05-09,25.06,24.07,25.74,23.64,37872.39
2019-05-10,24.54,25.07,25.36,23.5,32427.95
2019-05-13,25.07,25.72,25.82,25.07,28025.1
2019-05-14,25.91,25.66,26.21,24.65,34434.7
2019-05-15,25.68,25.99,26.16,25.46,31967.39
2019-05-16,25.67,27.7,27.7,25.67,46015.37
2019-05-17,28.22,27.71,29.19,27.43,55585.54
2019-05-20,27.66,26.89,28.08,25.84,30974.15
2019-05-21,27.73,27.08,27.73,26.71,26304.92
2019-05-22,27.08,26.38,27.75,25.93,21581.26
2019-05-23,26.44,25.39,26.65,25.36,29299.7
2019-05-24,25.39,25.53,25.82,24.98,20698.6
2019-05-27,26.32,25.52,26.32,23.93,25900.2
2019-05-28,25.57,25.68,26.3,24.88,38720.0
2019-05-29,25.31,24.88,25.98,24.43,31871.47
2019-05-30,25.32,24.9,25.34,24.46,24621.88
2019-05-31,25.07,24.27,25.24,22.78,32763.97
2019-06-03,24.27,23.13,24.3,23.02,28740.4
2019-06-04,23.08,22.55,23.49,22.33,15887.62
2019-06-05,22.93,20.29,23.05,20.29,55529.6
2019-06-06,20.29,20.12,21.07,19.62,32786.5
2019-06-10,20.1,18.11,20.75,18.11,53757.85
2019-06-11,16.84,19.17,19.63,16.52,95062.12
2019-06-12,19.36,19.33,19.5,18.54,49476.91
2019-06-13,19.47,18.7,19.49,18.47,40871.65
2019-06-14,19.49,17.71,19.49,17.71,40117.0
2019-06-17,18.09,18.88,19.43,17.95,37926.8
2019-06-18,18.96,19.03,19.46,18.93,33533.26
2019-06-19,20.09,18.95,20.17,18.23,45483.74
2019-06-20,18.74,18.62,19.11,18.3,44670.8
2019-06-21,19.2,19.9,19.9,19.2,48226.36
2019-06-24,20.09,19.14,20.57,18.88,54129.06
2019-06-25,19.33,19.15,19.33,18.36,24268.22
2019-06-26,19.15,18.64,19.33,18.58,25874.09
2019-06-27,18.68,19.25,19.31,18.68,33587.21
2019-06-28,19.25,18.83,19.56,18.59,25130.0
2019-07-01,19.39,19.7,19.76,18.92,36707.93
2019-07-02,19.75,19.92,20.23,19.34,25657.48
2019-07-03,19.94,19.21,20.07,19.04,17997.6
2019-07-04,19.66,19.04,19.7,18.56,30996.77
2019-07-05,18.81,19.3,19.38,18.81,28425.13
2019-07-08,19.22,19.18,20.01,18.61,41802.19
2019-07-09,19.2,19.45,19.67,18.71,21879.22
2019-07-10,19.55,19.11,19.69,18.95,16181.37
2019-07-11,19.19,19.01,19.32,18.83,9950.0
2019-07-12,18.93,19.09,19.29,18.81,11909.9
2019-07-15,18.85,18.89,19.18,18.54,17864.8
2019-07-16,18.57,19.61,19.61,18.57,25397.0
2019-07-17,20.24,20.91,21.56,20.15,54355.45
