时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-07-11 09:35:00,11.65,11.6,11.68,11.6,-0.43,-0.05,3639,4229639.0,0.69,0.04
2025-07-11 09:40:00,11.61,11.64,11.65,11.6,0.34,0.04,1820,2114384.0,0.43,0.02
2025-07-11 09:45:00,11.64,11.65,11.66,11.63,0.09,0.01,1511,1759791.0,0.26,0.02
2025-07-11 09:50:00,11.64,11.62,11.66,11.61,-0.26,-0.03,2969,3455459.0,0.43,0.03
2025-07-11 09:55:00,11.63,11.61,11.63,11.6,-0.09,-0.01,2338,2714913.0,0.26,0.03
2025-07-11 10:00:00,11.61,11.6,11.62,11.6,-0.09,-0.01,1192,1383612.0,0.17,0.01
2025-07-11 10:05:00,11.61,11.59,11.61,11.57,-0.09,-0.01,6555,7593866.0,0.34,0.07
2025-07-11 10:10:00,11.6,11.58,11.6,11.58,-0.09,-0.01,2276,2637854.0,0.17,0.02
2025-07-11 10:15:00,11.59,11.58,11.61,11.58,0.0,0.0,1856,2152068.0,0.26,0.02
2025-07-11 10:20:00,11.59,11.6,11.61,11.58,0.17,0.02,1371,1589781.0,0.26,0.01
2025-07-11 10:25:00,11.61,11.65,11.66,11.61,0.43,0.05,1833,2133176.0,0.43,0.02
2025-07-11 10:30:00,11.66,11.64,11.66,11.63,-0.09,-0.01,1813,2111743.0,0.26,0.02
2025-07-11 10:35:00,11.64,11.63,11.66,11.63,-0.09,-0.01,1305,1519883.0,0.26,0.01
2025-07-11 10:40:00,11.64,11.64,11.65,11.63,0.09,0.01,1165,1356050.0,0.17,0.01
2025-07-11 10:45:00,11.64,11.63,11.65,11.61,-0.09,-0.01,2088,2427852.0,0.34,0.02
2025-07-11 10:50:00,11.64,11.64,11.64,11.63,0.09,0.01,973,1132115.0,0.09,0.01
2025-07-11 10:55:00,11.64,11.62,11.64,11.62,-0.17,-0.02,1072,1245982.0,0.17,0.01
2025-07-11 11:00:00,11.63,11.61,11.63,11.61,-0.09,-0.01,625,726055.0,0.17,0.01
2025-07-11 11:05:00,11.62,11.61,11.62,11.61,0.0,0.0,814,945261.0,0.09,0.01
2025-07-11 11:10:00,11.61,11.62,11.62,11.61,0.09,0.01,443,514354.0,0.09,0.0
2025-07-11 11:15:00,11.61,11.61,11.62,11.6,-0.09,-0.01,794,921912.0,0.17,0.01
2025-07-11 11:20:00,11.6,11.61,11.61,11.6,0.0,0.0,831,964461.0,0.09,0.01
