date,open,close,high,low,volume
2025-08-01,18.91,19.09,19.2,18.88,41406.0
2025-08-04,19.13,19.44,19.44,19.04,62420.1
2025-08-05,19.49,19.57,19.64,19.3,74808.84
2025-08-06,19.63,19.95,20.0,19.52,122539.1
2025-08-07,19.95,19.77,19.99,19.7,79118.0
2025-08-08,19.9,19.74,19.96,19.6,53844.0
2025-08-11,19.68,19.81,19.88,19.62,62476.12
2025-08-12,19.81,19.75,19.81,19.55,56253.61
2025-08-13,19.7,19.83,19.95,19.68,67633.0
2025-08-14,19.83,19.44,19.92,19.4,89048.0
2025-08-15,19.44,20.19,20.45,19.44,160314.99
2025-08-18,20.41,20.24,20.48,20.1,128756.9
2025-08-19,20.19,20.37,20.52,20.04,116730.07
2025-08-20,20.3,20.55,20.87,20.21,99168.9
2025-08-21,20.65,20.3,20.66,20.2,92911.0
2025-08-22,20.38,20.39,20.39,20.16,75183.87
