,时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
0,2025-07-11 09:35:00,80.09,79.59,80.37,79.5,-0.65,-0.52,961,7677736.0,1.09,0.18
1,2025-07-11 09:40:00,79.62,80.18,80.37,79.35,0.74,0.59,1018,8133727.0,1.28,0.19
2,2025-07-11 09:45:00,80.18,80.36,80.48,80.04,0.22,0.18,619,4987841.0,0.55,0.12
3,2025-07-11 09:50:00,80.36,80.05,80.36,80.01,-0.39,-0.31,258,2071372.0,0.44,0.05
4,2025-07-11 09:55:00,80.28,80.21,80.3,80.1,0.2,0.16,243,1953751.0,0.25,0.05
5,2025-07-11 10:00:00,80.1,80.09,80.2,79.88,-0.15,-0.12,301,2412159.0,0.4,0.06
6,2025-07-11 10:05:00,80.1,80.18,80.19,80.1,0.11,0.09,169,1358266.0,0.11,0.03
7,2025-07-11 10:10:00,80.13,80.1,80.29,80.1,-0.1,-0.08,207,1662277.0,0.24,0.04
8,2025-07-11 10:15:00,80.13,79.63,80.13,79.63,-0.59,-0.47,499,3993310.0,0.62,0.1
9,2025-07-11 10:20:00,79.68,79.69,79.8,79.68,0.08,0.06,427,3416364.0,0.15,0.08
10,2025-07-11 10:25:00,79.69,80.17,80.17,79.69,0.6,0.48,1371,11004386.0,0.6,0.26
11,2025-07-11 10:30:00,80.17,80.11,80.28,80.1,-0.07,-0.06,220,1766807.0,0.22,0.04
12,2025-07-11 10:35:00,80.14,80.11,80.2,80.09,0.0,0.0,156,1256802.0,0.14,0.03
13,2025-07-11 10:40:00,80.03,80.2,80.25,79.98,0.11,0.09,187,1501785.0,0.34,0.04
14,2025-07-11 10:45:00,80.1,80.2,80.2,80.1,0.0,0.0,151,1210211.0,0.12,0.03
15,2025-07-11 10:50:00,80.22,80.0,80.3,79.98,-0.25,-0.2,290,2327306.0,0.4,0.06
16,2025-07-11 10:55:00,79.98,79.91,79.98,79.7,-0.11,-0.09,289,2315270.0,0.35,0.06
17,2025-07-11 11:00:00,79.91,79.72,79.91,79.72,-0.24,-0.19,157,1254671.0,0.24,0.03
18,2025-07-11 11:05:00,79.9,79.78,79.9,79.59,0.08,0.06,526,4205106.0,0.39,0.1
19,2025-07-11 11:10:00,79.78,79.8,79.86,79.66,0.03,0.02,77,618119.0,0.25,0.01
20,2025-07-11 11:15:00,79.8,79.5,79.8,79.4,-0.38,-0.3,338,2695938.0,0.5,0.06
21,2025-07-11 11:20:00,79.51,79.59,79.63,79.51,0.11,0.09,139,1108831.0,0.15,0.03
22,2025-07-11 11:25:00,79.54,79.57,79.72,79.5,-0.03,-0.02,220,1758094.0,0.28,0.04
23,2025-07-11 11:30:00,79.6,80.07,80.07,79.6,0.63,0.5,166,1331095.0,0.59,0.03
24,2025-07-11 13:05:00,80.06,80.16,80.28,80.06,0.11,0.09,447,3589563.0,0.27,0.09
25,2025-07-11 13:10:00,80.16,80.15,80.22,80.0,-0.01,-0.01,305,2451411.0,0.27,0.06
26,2025-07-11 13:15:00,80.18,80.08,80.18,80.05,-0.09,-0.07,307,2469102.0,0.16,0.06
27,2025-07-11 13:20:00,80.1,80.28,80.3,80.1,0.25,0.2,473,3803436.0,0.25,0.09
28,2025-07-11 13:25:00,80.27,80.34,80.36,80.18,0.07,0.06,656,5282151.0,0.22,0.13
29,2025-07-11 13:30:00,80.31,80.17,80.32,80.17,-0.21,-0.17,176,1413592.0,0.19,0.03
30,2025-07-11 13:35:00,80.22,80.3,80.31,80.17,0.16,0.13,202,1628418.0,0.17,0.04
31,2025-07-11 13:40:00,80.3,80.29,80.32,80.13,-0.01,-0.01,140,1129486.0,0.24,0.03
32,2025-07-11 13:45:00,80.2,80.2,80.34,80.19,-0.11,-0.09,235,1891112.0,0.19,0.04
33,2025-07-11 13:50:00,80.14,80.17,80.2,80.11,-0.04,-0.03,196,1573294.0,0.11,0.04
34,2025-07-11 13:55:00,80.17,79.9,80.19,79.9,-0.34,-0.27,591,4741427.0,0.36,0.11
35,2025-07-11 14:00:00,79.94,80.03,80.03,79.9,0.16,0.13,285,2287828.0,0.16,0.05
36,2025-07-11 14:05:00,80.04,80.08,80.08,79.9,0.06,0.05,69,552084.0,0.22,0.01
37,2025-07-11 14:10:00,79.93,79.82,80.05,79.82,-0.32,-0.26,351,2814561.0,0.29,0.07
38,2025-07-11 14:15:00,79.83,79.97,79.99,79.79,0.19,0.15,569,4556709.0,0.25,0.11
39,2025-07-11 14:20:00,79.92,79.96,79.98,79.9,-0.01,-0.01,134,1076991.0,0.1,0.03
40,2025-07-11 14:25:00,79.97,79.8,79.97,79.79,-0.2,-0.16,338,2708625.0,0.23,0.06
41,2025-07-11 14:30:00,79.8,79.81,79.9,79.77,0.01,0.01,211,1686690.0,0.16,0.04
42,2025-07-11 14:35:00,79.81,79.74,79.88,79.65,-0.09,-0.07,632,5051448.0,0.29,0.12
43,2025-07-11 14:40:00,79.77,79.67,79.8,79.65,-0.09,-0.07,589,4706203.0,0.19,0.11
44,2025-07-11 14:45:00,79.67,79.66,79.67,79.52,-0.01,-0.01,571,4555725.0,0.19,0.11
45,2025-07-11 14:50:00,79.66,79.69,79.8,79.61,0.04,0.03,596,4759748.0,0.24,0.11
46,2025-07-11 14:55:00,79.8,79.72,79.84,79.69,0.04,0.03,347,2774227.0,0.19,0.07
47,2025-07-11 15:00:00,79.72,79.8,79.82,79.7,0.1,0.08,453,3624127.0,0.15,0.09
48,2025-07-14 09:35:00,79.6,79.4,80.18,79.19,-0.5,-0.4,1824,14531411.0,1.24,0.35
49,2025-07-14 09:40:00,79.49,79.5,79.71,79.3,0.13,0.1,522,4158685.0,0.52,0.1
50,2025-07-14 09:45:00,79.3,79.3,79.5,79.01,-0.25,-0.2,565,4486034.0,0.62,0.11
51,2025-07-14 09:50:00,79.32,79.7,79.72,79.32,0.5,0.4,248,1973966.0,0.5,0.05
52,2025-07-14 09:55:00,79.58,79.98,80.02,79.46,0.35,0.28,395,3155594.0,0.7,0.08
53,2025-07-14 10:00:00,79.98,79.52,79.99,79.47,-0.58,-0.46,472,3775898.0,0.65,0.09
54,2025-07-14 10:05:00,79.43,79.51,79.64,79.38,-0.01,-0.01,494,3935649.0,0.33,0.09
55,2025-07-14 10:10:00,79.5,79.42,79.62,79.31,-0.11,-0.09,356,2831608.0,0.39,0.07
56,2025-07-14 10:15:00,79.42,79.67,79.67,79.36,0.31,0.25,317,2528829.0,0.39,0.06
57,2025-07-14 10:20:00,79.87,79.87,80.08,79.84,0.25,0.2,731,5859486.0,0.3,0.14
58,2025-07-14 10:25:00,79.87,80.65,80.65,79.65,0.98,0.78,1368,11001927.0,1.25,0.26
59,2025-07-14 10:30:00,80.65,80.12,80.68,80.12,-0.66,-0.53,708,5713773.0,0.69,0.13
60,2025-07-14 10:35:00,80.14,80.29,80.29,80.05,0.21,0.17,419,3366687.0,0.3,0.08
61,2025-07-14 10:40:00,80.14,80.18,80.24,79.91,-0.14,-0.11,121,973793.0,0.41,0.02
62,2025-07-14 10:45:00,79.93,80.22,80.23,79.92,0.05,0.04,167,1344560.0,0.39,0.03
63,2025-07-14 10:50:00,80.14,80.01,80.23,80.01,-0.26,-0.21,195,1566134.0,0.27,0.04
64,2025-07-14 10:55:00,80.01,79.89,80.1,79.89,-0.15,-0.12,190,1524166.0,0.26,0.04
65,2025-07-14 11:00:00,79.9,79.82,80.09,79.82,-0.09,-0.07,162,1299533.0,0.34,0.03
66,2025-07-14 11:05:00,79.84,79.99,80.02,79.83,0.21,0.17,105,840848.0,0.24,0.02
