date,open,close,high,low,volume
2019-01-02,12.85,12.93,13.05,12.68,13427.77
2019-01-03,12.87,12.58,13.13,12.54,15359.07
2019-01-04,12.47,12.96,13.02,12.41,20409.08
2019-01-07,12.94,13.12,13.23,12.8,21322.6
2019-01-08,13.03,13.0,13.1,12.92,10288.68
2019-01-09,13.07,13.18,13.4,13.0,20741.42
2019-01-10,13.12,13.06,13.25,13.0,9828.69
2019-01-11,13.14,13.77,13.89,13.02,30218.49
2019-01-14,13.77,13.24,13.78,13.23,25682.85
2019-01-15,13.13,13.4,13.45,12.98,16999.19
2019-01-16,13.4,13.6,13.78,13.33,20136.27
2019-01-17,13.5,13.38,13.56,13.34,14222.54
2019-01-18,13.4,13.82,14.04,13.4,26075.26
2019-01-21,14.15,14.11,14.53,14.07,35091.63
2019-01-22,14.07,14.45,14.87,14.07,43182.46
2019-01-23,14.38,14.62,14.71,14.19,23418.09
2019-01-24,14.5,14.45,14.93,14.45,22501.45
2019-01-25,14.36,15.44,15.86,14.36,54694.55
2019-01-28,15.48,15.54,15.86,15.15,38037.02
2019-01-29,15.34,15.57,15.63,14.93,26390.21
2019-01-30,17.02,16.79,17.13,16.5,77849.53
2019-01-31,16.89,17.12,17.76,16.83,69697.02
2019-02-01,17.44,18.83,18.83,17.15,52985.47
2019-02-11,19.39,19.85,20.41,18.85,47907.47
2019-02-12,19.58,19.82,19.91,19.32,36979.46
2019-02-13,19.45,19.73,19.83,19.3,31118.44
2019-02-14,19.56,19.36,20.16,18.94,39460.57
2019-02-15,19.21,19.59,19.91,19.09,27219.85
2019-02-18,19.46,20.33,20.56,19.45,35393.81
2019-02-19,20.28,19.6,20.28,19.37,31508.12
2019-02-20,19.5,20.24,20.71,19.5,29742.9
2019-02-21,20.08,21.07,22.22,19.73,40065.34
2019-02-22,21.23,21.71,22.24,20.86,36150.95
2019-02-25,21.39,22.14,22.55,21.3,32843.43
2019-02-26,22.12,21.23,22.12,20.94,26308.44
2019-02-27,21.26,21.68,21.87,20.8,17237.45
2019-02-28,21.28,22.18,22.88,21.28,16068.5
2019-03-01,22.18,23.88,23.96,22.05,22552.96
2019-03-04,23.39,23.23,23.92,22.76,21996.89
2019-03-05,23.04,23.16,23.17,22.74,12547.18
2019-03-06,23.17,22.81,23.18,22.4,16511.42
2019-03-07,22.55,22.38,23.47,21.6,25292.09
2019-03-08,21.44,21.76,22.75,21.43,13508.35
2019-03-11,21.76,22.7,23.04,21.76,15069.87
2019-03-12,23.63,24.52,24.98,22.78,30464.11
2019-03-13,24.2,23.04,24.95,22.71,17613.97
2019-03-14,22.84,22.81,23.58,22.61,9701.43
2019-03-15,22.94,24.36,24.49,22.78,13264.88
2019-03-18,24.35,24.82,25.3,23.41,11097.2
2019-03-19,24.75,24.7,25.08,24.03,7461.88
2019-03-20,25.01,24.21,25.61,23.37,9546.78
2019-03-21,24.21,24.03,24.69,23.76,7129.84
2019-03-22,23.93,23.83,24.19,23.23,8297.12
2019-03-25,23.42,23.41,23.82,23.27,9107.13
2019-03-26,23.4,22.83,23.81,22.58,8997.86
2019-03-27,23.03,23.7,23.8,22.68,8994.84
2019-03-28,23.7,22.97,23.96,22.97,7337.52
2019-03-29,23.23,23.63,23.66,22.97,11128.82
2019-04-01,24.01,23.75,24.11,23.47,16817.55
2019-04-02,23.76,22.48,23.76,22.32,27431.67
2019-04-03,22.52,22.5,22.84,21.84,18244.96
2019-04-04,22.43,22.38,22.8,22.15,11211.03
2019-04-08,22.53,21.66,22.66,21.6,15997.15
2019-04-09,21.87,22.05,22.13,21.68,8101.33
2019-04-10,21.92,21.94,22.42,21.9,7069.0
2019-04-11,21.82,21.38,21.95,21.29,7424.17
2019-04-12,21.44,21.48,21.78,21.26,6695.09
2019-04-15,21.82,20.93,22.28,20.93,12664.9
2019-04-16,20.87,22.14,22.39,20.86,17383.31
2019-04-17,22.12,22.22,22.67,22.01,9446.24
2019-04-18,22.22,22.26,22.84,22.22,9978.69
2019-04-19,22.54,23.0,23.17,22.39,9301.61
2019-04-22,23.21,23.15,23.46,22.55,11484.71
2019-04-23,23.3,22.32,23.58,21.73,21411.45
2019-04-24,22.7,23.07,23.32,22.44,16807.48
2019-04-25,22.96,22.74,23.52,22.71,12155.48
2019-04-26,22.67,22.17,22.91,22.11,8307.77
2019-04-29,22.05,23.01,23.44,22.05,11086.54
2019-04-30,23.04,23.19,23.51,22.78,8762.3
2019-05-06,21.72,20.87,21.72,20.87,5230.0
