date,open,close,high,low,volume
2021-12-23,20.66,24.8,24.8,20.66,27015.34
2021-12-24,27.28,27.28,27.28,27.28,22749.0
2021-12-27,30.01,30.01,30.01,30.01,11103.73
2021-12-28,33.01,33.01,33.01,33.01,13224.06
2021-12-29,36.32,36.32,36.32,36.32,15239.07
2021-12-30,39.95,39.95,39.95,39.95,13188.94
2021-12-31,39.28,35.96,39.28,35.96,939668.59
2022-01-04,32.59,32.36,33.89,32.36,314515.75
2022-01-05,30.67,30.59,32.47,29.72,501583.62
2022-01-06,30.28,31.4,33.09,30.28,450060.79
2022-01-07,31.13,29.97,31.13,29.31,396530.44
2022-01-10,29.33,29.43,30.45,29.33,223553.57
2022-01-11,29.69,30.25,31.14,29.54,311403.62
2022-01-12,30.01,30.66,30.73,29.43,282770.59
2022-01-13,30.47,30.47,32.14,30.23,319185.47
2022-01-14,29.71,32.99,33.52,29.52,604224.97
2022-01-17,31.73,30.52,32.14,30.52,451770.48
2022-01-18,29.61,29.61,31.12,28.72,387323.95
2022-01-19,29.65,29.97,30.52,29.42,214060.38
2022-01-20,29.56,29.39,31.94,29.04,366102.29
2022-01-21,28.75,27.01,29.23,26.99,345070.85
2022-01-24,26.62,25.89,26.97,25.78,213256.23
2022-01-25,25.86,25.63,26.41,25.55,152024.64
2022-01-26,25.93,26.06,26.37,25.6,142635.79
2022-01-27,25.79,24.76,25.97,24.75,170334.63
2022-01-28,25.11,24.47,25.27,24.39,125507.93
2022-02-07,24.89,25.17,25.4,24.67,121598.55
2022-02-08,25.1,25.85,25.91,25.0,159077.29
2022-02-09,25.63,25.78,26.01,25.49,142528.27
2022-02-10,25.73,25.47,26.23,25.4,139829.78
2022-02-11,25.3,25.73,26.75,24.78,210736.19
2022-02-14,25.2,25.4,25.73,24.87,128171.38
2022-02-15,25.39,25.68,25.96,25.17,97158.14
2022-02-16,25.83,26.05,26.22,25.49,136164.25
2022-02-17,25.86,25.21,25.98,25.05,160564.05
2022-02-18,24.92,25.28,25.49,24.87,87706.86
2022-02-21,25.33,25.92,26.24,25.28,133088.7
2022-02-22,25.68,25.18,26.04,25.07,126281.94
2022-02-23,25.24,26.11,26.73,25.2,190631.92
2022-02-24,25.86,24.72,26.09,24.03,222809.63
2022-02-25,24.99,25.12,25.86,24.93,152706.0
2022-02-28,25.06,24.45,25.25,24.26,123758.06
2022-03-01,24.52,24.43,24.67,24.03,106854.72
2022-03-02,24.1,24.22,24.28,23.98,77435.82
2022-03-03,24.29,23.89,24.38,23.86,92507.41
2022-03-04,23.56,23.38,23.81,23.36,87117.23
2022-03-07,23.24,23.98,24.49,23.02,159255.62
2022-03-08,23.95,25.35,26.25,23.58,331623.59
2022-03-09,25.09,25.43,25.89,24.55,284877.58
2022-03-10,25.13,24.72,25.61,24.6,211046.55
2022-03-11,24.26,24.3,24.63,23.48,187541.76
2022-03-14,23.77,23.46,24.36,23.45,108769.79
2022-03-15,23.29,22.84,24.29,22.79,150781.33
2022-03-16,23.21,23.98,24.36,22.32,208731.9
2022-03-17,23.83,23.71,24.44,23.64,181997.68
2022-03-18,23.59,23.76,24.06,23.48,111194.13
2022-03-21,24.05,24.0,24.7,23.8,137468.7
2022-03-22,23.77,23.59,24.15,23.54,112978.54
2022-03-23,23.62,24.08,24.41,23.49,170925.23
2022-03-24,23.91,23.45,24.01,23.4,106535.16
2022-03-25,23.48,22.83,23.66,22.81,109846.61
2022-03-28,22.52,22.76,23.16,22.47,68987.16
2022-03-29,22.69,22.11,22.86,22.05,80177.63
2022-03-30,22.25,22.67,22.9,22.14,86073.88
2022-03-31,22.51,22.29,22.73,22.27,76372.83
2022-04-01,22.17,22.46,22.62,22.13,73408.96
2022-04-06,22.29,22.47,22.62,22.22,54502.52
2022-04-07,22.41,21.85,22.59,21.69,91980.84
2022-04-08,21.84,21.69,22.08,21.42,68409.41
2022-04-11,21.61,20.7,21.82,20.7,78911.82
2022-04-12,20.78,21.27,21.45,20.55,71379.94
2022-04-13,21.08,20.87,21.39,20.87,64349.13
2022-04-14,21.02,20.94,21.28,20.91,57265.8
2022-04-15,20.81,20.47,20.91,20.37,62114.23
2022-04-18,20.32,20.32,20.35,19.82,55023.75
2022-04-19,20.23,20.13,20.46,20.01,41336.0
2022-04-20,20.14,19.96,20.46,19.89,50463.82
2022-04-21,19.88,20.08,20.77,19.87,104842.94
2022-04-22,20.11,20.97,21.68,20.03,159302.21
2022-04-25,20.5,19.28,20.5,19.27,123110.97
2022-04-26,19.29,18.19,19.43,18.11,113419.09
2022-04-27,16.86,17.32,17.41,16.39,151257.56
2022-04-28,17.06,16.65,17.32,16.63,82399.26
2022-04-29,16.88,17.42,17.49,16.85,92242.37
2022-05-05,17.29,17.6,17.77,17.26,54536.17
2022-05-06,17.15,17.34,17.59,17.1,41545.47
2022-05-09,17.33,17.6,17.76,17.3,36978.05
2022-05-10,17.38,17.71,17.8,17.35,53131.1
2022-05-11,17.77,17.87,18.25,17.69,76014.06
2022-05-12,17.73,17.86,18.15,17.72,45503.06
2022-05-13,17.86,17.82,18.07,17.65,38179.65
2022-05-16,17.94,17.64,18.02,17.61,33551.67
2022-05-17,17.68,17.61,17.75,17.37,35401.6
